time,x,y,yaw,goal_x,goal_y,goal_yaw,distance_to_goal,yaw_error_to_goal,path_length,front_distance,bt_state,recovery_phase
1779440492.6412985,1.0052609246714647e-16,-9.449450845805585e-31,-7.771561172376096e-14,10.0,-2.0,0.0,10.198039027185569,7.771561172376096e-14,0,1.8992736339569092,WAITING_FOR_DATA,IDLE
1779440492.741403,7.000735943481242e-05,4.1077535099539004e-08,0.002399918794227851,10.0,-2.0,0.0,10.197970387387015,-0.002399918794227851,198,1.8992736339569092,FOLLOW_PATH_LOS,IDLE
1779440492.841262,0.002869980900508525,2.5897435432287164e-05,0.015723714850722992,10.0,-2.0,0.0,10.195229875250122,-0.015723714850722992,198,1.897318720817566,FOLLOW_PATH_LOS,IDLE
1779440492.9412684,0.009868260443130853,0.00018181543223005754,0.029490013049656483,10.0,-2.0,0.0,10.188398277869164,-0.029490013049656483,198,1.8920849561691284,FOLLOW_PATH_LOS,IDLE
1779440493.0412557,0.020361869059094137,0.0005476297217998994,0.041123187936673126,10.0,-2.0,0.0,10.178180979100107,-0.041123187936673126,198,1.883104920387268,FOLLOW_PATH_LOS,IDLE
1779440493.1412616,0.03434733201490994,0.0011845033897476514,0.05084433545833855,10.0,-2.0,0.0,10.164594065457095,-0.05084433545833855,198,1.8707889318466187,FOLLOW_PATH_LOS,IDLE
1779440493.2412581,0.05182131407493376,0.002137274613490048,0.058996720202986186,10.0,-2.0,0.0,10.14765060659316,-0.058996720202986186,198,1.8551979064941406,FOLLOW_PATH_LOS,IDLE
1779440493.3413103,0.07262437782743034,0.0034281366579136385,0.06540438073819432,10.0,-2.0,0.0,10.127512579229847,-0.06540438073819432,198,1.8362319469451904,FOLLOW_PATH_LOS,IDLE
1779440493.4413562,0.09551762602097276,0.004981137391311037,0.07033502196423447,10.0,-2.0,0.0,10.105380767579032,-0.07033502196423447,198,1.8150125741958618,FOLLOW_PATH_LOS,IDLE
1779440493.5412607,0.11879640165389435,0.006667201915653178,0.07403638547481782,10.0,-2.0,0.0,10.082901259618287,-0.0740363854748178,198,1.7935863733291626,FOLLOW_PATH_LOS,IDLE
1779440493.641259,0.142272403291039,0.008440743203260076,0.07669961584981166,10.0,-2.0,0.0,10.06024987710923,-0.07669961584981166,198,1.7717515230178833,FOLLOW_PATH_LOS,IDLE
1779440493.741442,0.16583736377693156,0.010278996535891085,0.07892270803075485,10.0,-2.0,0.0,10.037528400936118,-0.07892270803075485,198,1.7498891353607178,FOLLOW_PATH_LOS,IDLE
1779440493.841242,0.18947002592124823,0.012169222485008945,0.08038148386044242,10.0,-2.0,0.0,10.014755281693786,-0.08038148386044242,198,1.7279871702194214,FOLLOW_PATH_LOS,IDLE
1779440493.9412823,0.2132436067385278,0.01409519062962965,0.08115098573772084,10.0,-2.0,0.0,9.99185569040915,-0.08115098573772084,198,1.7058523893356323,FOLLOW_PATH_LOS,IDLE
1779440494.0413847,0.23706833204315328,0.016039547319491997,0.0813400740885144,10.0,-2.0,0.0,9.968914194111154,-0.0813400740885144,198,1.6836633682250977,FOLLOW_PATH_LOS,IDLE
1779440494.1413243,0.26094270275801684,0.017984307770649677,0.08103269179348781,10.0,-2.0,0.0,9.94592869999433,-0.08103269179348781,198,1.661400556564331,FOLLOW_PATH_LOS,IDLE
1779440494.2412946,0.2848077367676791,0.019918455424093276,0.08029875167883604,10.0,-2.0,0.0,9.922954765498632,-0.08029875167883604,198,1.6391338109970093,FOLLOW_PATH_LOS,IDLE
1779440494.341275,0.30859340394461715,0.02182196956601955,0.07920941027396466,10.0,-2.0,0.0,9.900056862800618,-0.07920941027396466,198,1.6170423030853271,FOLLOW_PATH_LOS,IDLE
1779440494.4412088,0.33236810118446614,0.023697489871105006,0.07785340234605088,10.0,-2.0,0.0,9.87716852450672,-0.07785340234605088,198,1.5948989391326904,FOLLOW_PATH_LOS,IDLE
1779440494.5412567,0.35608624065421635,0.02553132531948989,0.07627950940113326,10.0,-2.0,0.0,9.854331522104859,-0.07627950940113326,198,1.5729880332946777,FOLLOW_PATH_LOS,IDLE
1779440494.6412587,0.37980895833179373,0.027328097815212178,0.07455277070368815,10.0,-2.0,0.0,9.831486911672327,-0.07455277070368815,198,1.5508644580841064,FOLLOW_PATH_LOS,IDLE
